fold,model,accuracy,precision,recall,f1,roc_auc,log_loss
1,Baseline,0.5641385767790262,0.5257731958762887,0.5198776758409785,0.5228088159917991,0.5876497610442565,0.854431617213779
1,CF-SVD,0.5655430711610487,0.5252621544327931,0.5616717635066258,0.5428571428571429,0.5935338531668807,1.0636300626866522
1,LogReg,0.5880149812734082,0.548418024928092,0.583078491335372,0.5652173913043478,0.629110678651963,0.6671530264192918
1,Hybrid(w=0.00),0.5880149812734082,0.548418024928092,0.583078491335372,0.5652173913043478,0.629110678651963,0.6671530264192918
2,Baseline,0.5688202247191011,0.5753968253968254,0.5405405405405406,0.557424315233061,0.5858505048663026,0.8617274469461679
2,CF-SVD,0.5519662921348315,0.5553435114503816,0.5424044734389561,0.5487977369165489,0.5695844902546819,1.1450119707092978
2,LogReg,0.6072097378277154,0.6308724832214765,0.5256290773532153,0.5734621250635485,0.6545863182415556,0.6582744241122067
2,Hybrid(w=0.00),0.6072097378277154,0.6308724832214765,0.5256290773532153,0.5734621250635485,0.6545863182415556,0.6582744241122067
3,Baseline,0.5545667447306791,0.5292307692307693,0.5119047619047619,0.5204236006051437,0.572025834143181,0.8868711445064005
3,CF-SVD,0.5475409836065573,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5574780636892438,1.1444381311894465
3,LogReg,0.5929742388758782,0.5741728922091782,0.5337301587301587,0.5532133676092544,0.6112237855804847,0.6752987600770448
3,Hybrid(w=0.00),0.5929742388758782,0.5741728922091782,0.5337301587301587,0.5532133676092544,0.6112237855804847,0.6752987600770448
4,Baseline,0.5728337236533958,0.5753694581280788,0.5483568075117371,0.5615384615384615,0.5881391777456013,0.8477053386203612
4,CF-SVD,0.5456674473067916,0.5452812202097236,0.5370892018779343,0.5411542100283823,0.5651616866306876,1.1284188126201093
4,LogReg,0.6187353629976581,0.6333687566418703,0.5596244131455399,0.5942173479561315,0.6510820060550218,0.6593229173632966
4,Hybrid(w=0.00),0.6187353629976581,0.6333687566418703,0.5596244131455399,0.5942173479561315,0.6510820060550218,0.6593229173632966
5,Baseline,0.5737704918032787,0.5570866141732284,0.5516569200779727,0.55435847208619,0.5891303125060422,0.8539726377553112
5,CF-SVD,0.5489461358313817,0.5303760848601736,0.5360623781676414,0.5332040717401842,0.5765208281700143,1.1004254081701672
5,LogReg,0.6042154566744731,0.5974165769644779,0.5409356725146199,0.5677749360613812,0.6332496655926964,0.6653085980265185
5,Hybrid(w=0.10),0.6070257611241218,0.5985247629083246,0.5536062378167641,0.5751898734177214,0.6416801572109815,0.6614581617053349
