policy,metric,mean,ci_lo,ci_hi
baseline,prec,0.6333333333333333,0.5722222222222222,0.6888888888888888
baseline,rec,0.6333333333333333,0.5722222222222223,0.6999999999999998
baseline,ndcg,0.6588453545662873,0.5950653014839021,0.7207791619012748
cf,prec,0.3833333333333332,0.32222222222222213,0.42791666666666656
cf,rec,0.3833333333333332,0.32777777777777767,0.43333333333333335
cf,ndcg,0.3460893439498104,0.29711338641571844,0.3996848123417458
logreg,prec,0.43333333333333335,0.38319444444444434,0.48347222222222214
logreg,rec,0.43333333333333335,0.3776388888888888,0.49999999999999994
logreg,ndcg,0.4146185817348504,0.3569571823862663,0.4804932840270111
hybrid,prec,0.36111111111111105,0.31111111111111106,0.4222222222222222
hybrid,rec,0.36111111111111105,0.30555555555555547,0.41680555555555543
hybrid,ndcg,0.345250815297345,0.2845172885510366,0.4138266173603444
