policy,metric,mean,ci_lo,ci_hi
baseline,prec,0.5944444444444443,0.538888888888889,0.6555555555555553
baseline,rec,0.5944444444444443,0.538888888888889,0.6444444444444443
baseline,ndcg,0.6129415244299199,0.5591861432861891,0.6678762229460175
cf,prec,0.5833333333333334,0.5277777777777778,0.6388888888888887
cf,rec,0.5833333333333334,0.5333333333333333,0.6388888888888888
cf,ndcg,0.568714751598483,0.5100246719386545,0.6314963632766077
logreg,prec,0.5944444444444444,0.5388888888888889,0.6444444444444444
logreg,rec,0.5944444444444444,0.5333333333333333,0.6499999999999999
logreg,ndcg,0.576721577512305,0.5089889419471069,0.6405435570273134
hybrid,prec,0.5833333333333333,0.5277777777777777,0.6444444444444443
hybrid,rec,0.5833333333333333,0.5222222222222223,0.6390277777777778
hybrid,ndcg,0.5705773227168563,0.5067809442634956,0.6294855669320784
