policy,metric,mean,ci_lo,ci_hi
baseline,prec,0.5777777777777777,0.5166666666666666,0.6388888888888887
baseline,rec,0.5777777777777777,0.5165277777777777,0.6333333333333333
baseline,ndcg,0.6018625711183734,0.5333286954879972,0.672444531680566
cf,prec,0.6055555555555555,0.5443055555555555,0.672222222222222
cf,rec,0.6055555555555555,0.5444444444444444,0.6668055555555554
cf,ndcg,0.6080068259138222,0.5349000037035616,0.6627816116781247
logreg,prec,0.5777777777777778,0.5166666666666666,0.6277777777777778
logreg,rec,0.5777777777777778,0.5222222222222221,0.6388888888888887
logreg,ndcg,0.5962748577632532,0.5282845430450052,0.6582086650982405
hybrid,prec,0.5888888888888889,0.5277777777777778,0.6499999999999999
hybrid,rec,0.5888888888888889,0.5222222222222223,0.6555555555555554
hybrid,ndcg,0.5981374288816266,0.540109639751493,0.664901861949548
