policy,metric,mean,ci_lo,ci_hi
baseline,prec,0.6222222222222222,0.5554166666666666,0.6777777777777777
baseline,rec,0.6222222222222222,0.5555555555555555,0.6833333333333332
baseline,ndcg,0.6438557452045512,0.5841672241404624,0.7076567615032481
cf,prec,0.5722222222222222,0.5111111111111111,0.6333333333333332
cf,rec,0.5722222222222222,0.5054166666666665,0.6333333333333332
cf,ndcg,0.5981374288816265,0.5371718240439158,0.6706285248401516
logreg,prec,0.6444444444444444,0.5944444444444444,0.6999999999999998
logreg,rec,0.6444444444444444,0.5944444444444443,0.7001388888888886
logreg,ndcg,0.6528866135842815,0.5940202958016825,0.708866317782599
hybrid,prec,0.6055555555555556,0.5444444444444444,0.6611111111111111
hybrid,rec,0.6055555555555556,0.5443055555555554,0.6722222222222222
hybrid,ndcg,0.6244879787670459,0.5559075388587105,0.6952717785136567
